Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),Share Community Scheme,CHP Enabled,CfD Allocation Round,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Are they re-applying (New REPD Ref),Are they re-applying (Old REPD Ref) ,Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission  Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,Solar Site Area (sqm)
B0730,3,20/12/2019,Scottish and Southern Energy (SSE),Ferrybridge Multifuel 2 (FM2),EfW Incineration,,,70,,No,,,,,,,,,Operational,Operational,,,,West Yorkshire,Yorkshire and Humber,England,,447490,424684,The Planning Inspectorate - National Infrastructure,EN010061,,,,,,20/08/2014,,,,,,,28/10/2015,,,,28/10/2020,01/09/2016,20/12/2019,,
1106000,4,18/12/2003,Energy Power Resources,Thetford Biomass Power Station,Biomass (dedicated),,,38.5,,No,,,,,,,,,Operational,Operational,,,"Thetford Power Station
, Marley Building Materials Site
, Two Mile Bottom,
Mundford Road, Thetford ,
Norfolk",Norfolk,Eastern,England,,585300,286900,Breckland,,,,,,,23/06/1994,,,,,,,05/05/1995,,,,,,02/10/1998,,
A0331,14,04/04/2012,Dalkia,Chilton Energy Plant,Biomass (dedicated),,,18,,No,,,,,,,,,Operational,Operational,,,"Chilton Industrial Estate, Chilton, Ferryhill,",County Durham,North East,England,,428049,530414,County Durham,7/2008/0522/DM ,,,,,,17/09/2008,,,,,,,24/11/2009,,,,,01/03/2010,12/03/2012,,
AA851,22,10/08/2012,Double H Nurseries,Double H Nurseries Biomass Plant,Biomass (dedicated),,,1.5,,Yes,,,,,,,,,Operational,Operational,,,"Double H Nurseries, Gore Road, New Milton ",Hampshire,South East,England,BH25 5NQ,422804,94625,New Forest,12/98264,,,,,,25/01/2012,,,,,,,29/05/2012,,,,,,15/12/2012,,
B0242,23,25/10/2016,REACT Energy (Kedco),Newry Biomass Phase 1 (Gasification),Advanced Conversion Technologies,,,2,,No,,,,,,,,,Operational,Operational,,,Newry,Co. Down,Northern Ireland,Northern Ireland,,117392,488885,"Newry, Mourne and Down",,,,,,,,,,,,,,,,,,,,27/06/2012,,
B0376,24,29/05/2012,Balfour Beatty,Beckton STW Biodiesel Power Plant,Biomass (dedicated),,,8,,No,,,,,,,,,Operational,Operational,,,Beckton Sewage Treatment Works Jenkins Lane East Ham London ,London,London,England,IG11 0AD,545350,181950,Newham,,,,,,,,,,,,,,,,,,,,01/12/2010,,
B0461,26,07/08/2012,Living Power (REG Bio-Power),Buslingthorpe Power Station (Leeds North),Biomass (dedicated),,,2,,No,,,,,,,,,Operational,Operational,,,"Penraevon Industrial Estate, Buslingthorpe Green, Leeds",West Yorkshire,Yorkshire and Humber,England,LS7 2HG,430213,435435,Leeds,10/04466/FU,,,,,,30/09/2010,,,,,,,30/12/2010,,,,,,14/10/2011,,
EN00001,28,09/06/2010,Balcas,Invergordon Pellet Mill,Biomass (dedicated),,,5,,No,,,,,,,,,Operational,Operational,,,"Invergordon, Ross-shire",Highland,Scotland,Scotland,,271390,870450,Highland,06/00944/FULRC,,,,,,15/04/2006,,,,,,,16/04/2007,,,,,,01/11/2009,,
EN00121,33,08/10/2013,Balcas Timber,Balcas Timber Biomass CHP Plant,Biomass (dedicated),,,2.5,,Yes,,,,,,,,,Operational,Operational,,,"Balcas Timber Ltd, Laragh, Enniskillen, Co. Fermanagh",Co. Fermanagh,Northern Ireland,Northern Ireland,BT94 2FQ,31750,505000,Fermanagh and Omagh,,,,,,,01/06/2003,,,,,,,01/06/2004,,,,,,14/11/2005,,
EN00151,34,29/06/2011,Caledonian Paper,Caledonian Papermill,Biomass (dedicated),,,26,,No,,,,,,,,,Operational,Operational,,,"Meadowhead Road, Shewalton, Irvine",Strathclyde,Scotland,Scotland,KA11 5AT,233710,634940,North Ayrshire,06/00479/PP,,,,,,05/05/2006,,,,,,,11/07/2006,,,,,,04/06/2009,,
EN00156,35,10/05/2016,UK Wood Recycling,Wilton International,Biomass (dedicated),,,35.2,,No,,,,,,,,,Operational,Operational,,,"Wilton International, PO Box 1985, Wilton, Middlesbrough, Cleveland",Cleveland,North East,England,TS90 8WS,458500,519500,Redcar and Cleveland,R/2006/0910/FFM,,,,,,06/09/2006,,,,,,,07/11/2006,,,,,08/11/2006,26/03/2007,,
EN00236,37,04/12/2009,Bioflame,South View Farm,Biomass (dedicated),,,2,,No,,,,,,,,,Operational,Operational,,,"South View Farm, Yatts, Pickering",North Yorkshire,Yorkshire and Humber,England,,480945,486785,North Yorkshire,NYM/2005/0657/FL,,,,,,01/02/2006,,,,,,,24/10/2006,,,,,,01/10/2007,,
